18/11/25 06:08:51 INFO client.RMProxy: Connecting to ResourceManager at master/172.16.1.1:8032
18/11/25 06:08:52 INFO input.FileInputFormat: Total input paths to process : 32
18/11/25 06:08:52 INFO mapreduce.JobSubmitter: number of splits:32
18/11/25 06:08:52 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1543099092534_0034
18/11/25 06:08:53 INFO impl.YarnClientImpl: Submitted application application_1543099092534_0034
18/11/25 06:08:53 INFO mapreduce.Job: The url to track the job: http://master:8088/proxy/application_1543099092534_0034/
18/11/25 06:08:53 INFO mapreduce.Job: Running job: job_1543099092534_0034
18/11/25 06:09:00 INFO mapreduce.Job: Job job_1543099092534_0034 running in uber mode : false
18/11/25 06:09:00 INFO mapreduce.Job:  map 0% reduce 0%
18/11/25 06:09:37 INFO mapreduce.Job:  map 1% reduce 0%
18/11/25 06:09:44 INFO mapreduce.Job:  map 2% reduce 0%
18/11/25 06:09:48 INFO mapreduce.Job:  map 3% reduce 0%
18/11/25 06:09:52 INFO mapreduce.Job:  map 4% reduce 0%
18/11/25 06:09:56 INFO mapreduce.Job:  map 5% reduce 0%
18/11/25 06:09:59 INFO mapreduce.Job:  map 6% reduce 0%
18/11/25 06:10:03 INFO mapreduce.Job:  map 7% reduce 0%
18/11/25 06:10:09 INFO mapreduce.Job:  map 8% reduce 0%
18/11/25 06:10:13 INFO mapreduce.Job:  map 9% reduce 0%
18/11/25 06:10:18 INFO mapreduce.Job:  map 10% reduce 0%
18/11/25 06:10:26 INFO mapreduce.Job:  map 11% reduce 0%
18/11/25 06:10:40 INFO mapreduce.Job:  map 12% reduce 0%
18/11/25 06:10:46 INFO mapreduce.Job:  map 13% reduce 0%
18/11/25 06:10:59 INFO mapreduce.Job:  map 14% reduce 0%
18/11/25 06:11:07 INFO mapreduce.Job:  map 15% reduce 0%
18/11/25 06:11:11 INFO mapreduce.Job:  map 16% reduce 0%
18/11/25 06:11:17 INFO mapreduce.Job:  map 17% reduce 0%
18/11/25 06:11:22 INFO mapreduce.Job:  map 18% reduce 0%
18/11/25 06:11:28 INFO mapreduce.Job:  map 19% reduce 0%
